Date,Device,Address,Clicks,Visitors,Group
2023-05-18,Mobile,fyttlyf/business/campaign/campaigns-business/contact///,159,199,Control
2023-05-18,Laptop,fyttlyf/business/campaign/get-paid///,18,1413,Experiment
2023-05-18,Mobile,fyttlyf/business/campaign/campaigns-business/sign-up///,142,759,Control
2023-05-18,Laptop,fyttlyf/business/product/business-financial-services/credit-card///,126,473,Control
2023-05-18,Laptop,fyttlyf/business/product/business-accept-payments///,129,183,Control
2023-05-18,Laptop,fyttlyf/personal/product/digital-wallet-send-receive-money///,289,875,Control
2023-05-18,Mobile,fyttlyf/business/product/business///,139,270,Experiment
2023-05-18,Other,fyttlyf/both/security/security-learn-about-fake-messages///,7,74,Control
2023-05-18,Mobile,fyttlyf///extras-credit-card-benefits///,8,36,Control
2023-05-18,Laptop,fyttlyf/business/product/business-pos-system/pricing///,9,131,Control
2023-05-18,Mobile,fyttlyf///spotify-premium-offer///,134,461,Control
2023-05-18,Laptop,fyttlyf/personal//fyttlyf-credit-signin///,289,1018,Control
2023-05-18,Mobile,fyttlyf/personal/product/digital-wallet///,8,133,Experiment
2023-05-18,Mobile,fyttlyf/personal/sem/pay-with-rewards-capitalone///,45,321,Control
2023-05-18,Laptop,fyttlyf/personal/campaign/campaigns-digital-wallet/ways-to-pay/affiliate///,174,468,Experiment
2023-05-18,Laptop,fyttlyf/general/product/accessibility///,77,278,Control
2023-05-18,Laptop,fyttlyf/both/security/security-learn-about-scams///,1,49,Control
2023-05-18,Laptop,fyttlyf/personal//pfs-claim-offer5-3q-p///,48,401,Control
2023-05-18,Mobile,fyttlyf/personal/product/digital-wallet-ways-to-pay/rewards-points///,35,199,Control
2023-05-18,Laptop,fyttlyf/business//business-roadmap///,11,97,Experiment
2023-05-18,Mobile,fyttlyf/business/product/business-financial-services/credit-card///,261,796,Control
2023-05-18,Laptop,fyttlyf/business//merchant-fees///,161,577,Control
2023-05-18,Mobile,fyttlyf/personal/product/digital-wallet-ways-to-pay///,340,550,Control
2023-05-18,Mobile,fyttlyf/both/security/security-learn-about-fake-messages///,14,126,Experiment
2023-05-18,Laptop,fyttlyf/both/security/security-learn-about-fake-messages///,20,175,Experiment
2023-05-18,Laptop,fyttlyf/personal/product/digital-wallet-manage-money/add-cash///,90,640,Control
2023-05-18,Mobile,fyttlyf/business/product/business-accept-payments///,135,801,Control
2023-05-18,Laptop,fyttlyf/business/campaign/campaigns-business/all-in-one-solution///,204,8476,Control
2023-05-18,Tablet,fyttlyf/personal/product/digital-wallet-send-receive-money/send-money///,9,26,Experiment
2023-05-18,Other,fyttlyf/business/product/business-operations/shipping///,13,22,Control
2023-05-18,Laptop,fyttlyf/personal/product/shopping-selection///,14,59,Experiment
2023-05-18,Laptop,fyttlyf/personal/product/digital-wallet-manage-money/add-cash///,17,107,Experiment
2023-05-18,Mobile,fyttlyf/personal/product/digital-wallet-deals-rewards///,21,97,Control
2023-05-18,Mobile,fyttlyf///pay-with-rewards-scorecard///,10,16,Experiment
2023-05-18,Laptop,fyttlyf/business/product/mobile-apps-business-app///,2,11,Experiment
2023-05-18,Laptop,fyttlyf/personal//google-play-2022///,8,12,Experiment
2023-05-18,Mobile,fyttlyf/business/product/shipping-address-outside///,7,29,Control
2023-05-18,Laptop,fyttlyf/personal/product/digital-wallet-ways-to-pay/credit-services///,30,69,Experiment
2023-05-18,Mobile,fyttlyf/business/product/business-accept-payments/checkout///,46,95,Control
2023-05-18,Laptop,fyttlyf/business/product/recurring-payments-subscriptions///,30,79,Control
2023-05-18,Other,fyttlyf/personal/product/digital-wallet-send-receive-money///,25,36,Control
2023-05-18,Other,fyttlyf/personal/product/digital-wallet-send-receive-money///,12,32,Experiment
2023-05-18,Other,fyttlyf/both/product/digital-wallet-mobile-apps///,21,88,Control
2023-05-18,Mobile,fyttlyf/personal//fyttlyf-credit-how-it-works///,18,59,Control
2023-05-18,Other,fyttlyf/business//merchant-fees///,12,55,Control
2023-05-18,Mobile,fyttlyf/business/product/pricing///,3,37,Experiment
2023-05-18,Mobile,fyttlyf/both/security/security-protect-personal-info///,12,40,Control
2023-05-18,Mobile,fyttlyf///money-holds///,21,23,Control
2023-05-18,Mobile,fyttlyf/business/product/business-accept-payments/virtual-terminal///,12,24,Control
2023-05-18,Laptop,fyttlyf///money-holds///,9,84,Control
2023-05-18,Mobile,fyttlyf/personal/buy/fees///,33,176,Experiment
2023-05-18,Laptop,fyttlyf/business/product/mobile-apps-business-app///,29,73,Control
2023-05-18,Laptop,fyttlyf/business//enterprise/buy-now-pay-later///,3,39,Control
2023-05-18,Laptop,fyttlyf/business/product/business-accept-payments/checkout/integration///,15,28,Experiment
2023-05-18,Other,fyttlyf/personal/product/digital-wallet-ways-to-pay/credit-services///,15,47,Control
2023-05-18,Mobile,fyttlyf/both/security/security-learn-about-fake-messages///,46,1065,Control
2023-05-18,Laptop,fyttlyf/business/product/business-financial-services/credit-card///,30,91,Experiment
2023-05-18,Laptop,fyttlyf/personal/product/digital-wallet-manage-money/direct-deposit///,18,124,Control
2023-05-18,Mobile,fyttlyf/enterprise/product/enterprise-accept-payments///,23,78,Control
2023-05-18,Mobile,fyttlyf/business/product/business-pos-system/terminal///,13,77,Control
2023-05-18,Mobile,fyttlyf/business//chasefreedom5///,4,47,Control
2023-05-18,Laptop,fyttlyf/business/product/traffic-booster/storeya///,5,15,Experiment
2023-05-18,Mobile,fyttlyf/consumer/campaign/pay-with-rewards-bofa///,13,35,Control
2023-05-18,Tablet,fyttlyf/business/campaign/campaigns-business/all-in-one-solution///,2,33,Control
2023-05-18,Laptop,fyttlyf/both/security/security-report-fraud///,30,321,Control
2023-05-18,Other,fyttlyf///credit-pala-easy-payments-offer-end///,5,26,Control
2023-05-18,Laptop,fyttlyf///page-not-found///,16,34,Experiment
2023-05-18,Mobile,fyttlyf/personal/sem/pay-with-rewards-wellsfargo///,9,15,Experiment
2023-05-18,Tablet,fyttlyf///fundraising-online///,1,17,Control
2023-05-18,Mobile,fyttlyf/personal/sem/pay-with-rewards-capitalone///,17,43,Experiment
2023-05-18,Mobile,fyttlyf/enterprise/product/fraud-protection-advanced///,9,51,Control
2023-05-18,Tablet,fyttlyf/business/product/business-operations/shipping///,2,13,Control
2023-05-18,Mobile,fyttlyf/personal/product/digital-wallet-send-receive-money/giving///,24,24,Experiment
2023-05-18,Laptop,fyttlyf/business/product/business-pos-system/terminal///,2,64,Control
2023-05-18,Mobile,fyttlyf/general//pay-with-rewards-chase///,14,39,Experiment
2023-05-18,Other,fyttlyf/personal/product/digital-wallet-manage-money/add-cash///,8,33,Control
2023-05-18,Tablet,fyttlyf/personal/product/digital-wallet-ways-to-pay/rewards-points///,2,24,Control
2023-05-18,Tablet,fyttlyf/personal/product/digital-wallet-ways-to-pay///,3,28,Control
2023-05-18,Mobile,fyttlyf/both/security/security///,23,105,Control
2023-05-18,Other,fyttlyf/business/product/business-accept-payments/checkout/recurring///,7,24,Experiment
2023-05-18,Other,fyttlyf/business/product/getting-started-fundraise///,17,23,Control
2023-05-18,Laptop,fyttlyf/personal/product/digital-wallet-seller-profile///,18,19,Control
2023-05-18,Mobile,fyttlyf/enterprise/product/enterprise-make-payments///,13,41,Control
2023-05-18,Mobile,fyttlyf/enterprise/product/enterprise-accept-payments///,11,26,Experiment
2023-05-18,Mobile,fyttlyf/personal//signup-via-app-terms///,13,17,Control
2023-05-18,Mobile,fyttlyf/general//political-contributions-donations///,2,23,Control
2023-05-18,Laptop,fyttlyf///resolve-disputes///,4,7,Experiment
2023-05-18,Laptop,fyttlyf/enterprise/product/enterprise///,17,26,Experiment
2023-05-18,Tablet,fyttlyf/enterprise/product/enterprise-optimize-payments-processing///,8,23,Control
2023-05-18,Mobile,fyttlyf/general/partner/samsung-pay///,13,28,Control
2023-05-18,Laptop,fyttlyf/personal/product/welcome///,5,11,Control
2023-05-18,Other,fyttlyf///page-not-found///,10,31,Experiment
2023-05-18,Other,fyttlyf/personal/product/digital-wallet-send-receive-money/send-money///,13,30,Experiment
2023-05-18,Mobile,fyttlyf/business/product/business-accept-payments/invoice///,15,30,Experiment
2023-05-18,Other,fyttlyf/enterprise/product/enterprise-pay-later///,3,32,Control
2023-05-18,Mobile,fyttlyf/business/product/business-pos-system/card-reader///,7,81,Experiment
2023-05-18,Mobile,fyttlyf/both/security/security-protect-your-account///,4,29,Experiment
2023-05-18,Mobile,fyttlyf/both/security/security-protect-personal-info///,16,22,Experiment
2023-05-18,Laptop,fyttlyf/consumer/campaign/uchooserewards///,3,35,Experiment
2023-05-18,Other,fyttlyf/business/product/business-pos-system/terminal///,4,33,Control
2023-05-18,Other,fyttlyf/business/product/business-accept-payments/checkout/installments///,13,17,Control
2023-05-18,Laptop,fyttlyf/business/product/business-pos-system/card-reader///,18,57,Experiment
2023-05-18,Mobile,fyttlyf/business//enterprise/buy-now-pay-later///,13,31,Control
2023-05-18,Laptop,fyttlyf/enterprise/product/enterprise-make-payments///,5,7,Control
2023-05-18,Other,fyttlyf/business/product/business-pos-system/software///,9,28,Experiment
2023-05-18,Tablet,fyttlyf/general/product/accessibility///,5,3,Experiment
2023-05-18,Tablet,fyttlyf/both/security/security-protect-your-devices///,5,22,Control
2023-05-18,Mobile,fyttlyf/personal/product/digital-wallet-manage-money/pay-bills///,14,24,Experiment
2023-05-18,Laptop,fyttlyf/general//pay-with-rewards-discover///,4,55,Control
2023-05-18,Tablet,fyttlyf/personal/product/digital-wallet-ways-to-pay/pay-with-qr-code///,10,23,Control
2023-05-18,Laptop,fyttlyf///pay-with-rewards-amex///,2,24,Experiment
2023-05-18,Tablet,fyttlyf/personal//fyttlyf-credit-signin///,19,23,Experiment
2023-05-18,Laptop,fyttlyf/business/product/business-marketplace-payments///,2,6,Control
2023-05-18,Mobile,fyttlyf/consumer/campaign/uchooserewards///,2,30,Experiment
2023-05-18,Other,fyttlyf///disputes-chargebacks///,4,26,Control
2023-05-18,Mobile,fyttlyf/business/product/business-platforms-and-marketplaces/solutions///,9,12,Experiment
2023-05-18,Other,fyttlyf///money-holds///,8,12,Control
2023-05-18,Laptop,fyttlyf///credit-easy-payments-offer-end///,12,24,Experiment
2023-05-18,Tablet,fyttlyf/personal/campaign/campaigns-digital-wallet/ways-to-pay/affiliate///,4,18,Control
2023-05-18,Laptop,fyttlyf/business/product/business-pos-system/terminal///,7,34,Experiment
2023-05-18,Other,fyttlyf/business/product/business-accept-payments/checkout/installments///,4,35,Experiment
2023-05-18,Mobile,fyttlyf/business//enterprise/buy-now-pay-later///,11,28,Experiment
2023-05-18,Mobile,fyttlyf/business/product/business-financial-services/working-capital///,29,61,Control
2023-05-18,Mobile,fyttlyf///pay-taxes-with-fyttlyf-credit///,12,22,Experiment
2023-05-18,Other,fyttlyf///pay-taxes-with-fyttlyf-credit///,10,2,Control
2023-05-18,Mobile,fyttlyf/business/product/fyttlyf-working-capital/pre-approval///,2,13,Experiment
2023-05-18,Mobile,fyttlyf/general/product/accessibility///,6,13,Experiment
2023-05-18,Mobile,fyttlyf/personal/product/digital-wallet-ways-to-pay/rewards-points///,13,30,Experiment
2023-05-18,Tablet,fyttlyf/business/product/business-accept-payments/invoice///,0,12,Control
2023-05-18,Tablet,fyttlyf/enterprise/product/enterprise-optimize-payments-processing///,10,26,Experiment
2023-05-18,Laptop,fyttlyf///pay-with-rewards-scorecard///,5,23,Control
2023-05-18,Mobile,fyttlyf/personal//fyttlyf-credit-how-it-works///,12,18,Experiment
2023-05-18,Tablet,fyttlyf/both/security/security-report-fraud///,15,17,Experiment
2023-05-18,Other,fyttlyf/business/product/pricing///,6,22,Control
2023-05-18,Tablet,fyttlyf/business/product/business-pos-system/software///,7,18,Control
2023-05-18,Other,fyttlyf/business/product/business-pos-system/integrations///,12,26,Control
2023-05-18,Other,fyttlyf/both/security/security-learn-about-fyttlyf-secure-technology///,8,16,Control
2023-05-18,Mobile,fyttlyf/business/product/business-financial-services/debit-card///,1,44,Experiment
2023-05-18,Mobile,fyttlyf/enterprise/product/fraud-protection-advanced///,6,16,Experiment
2023-05-18,Other,fyttlyf/enterprise/product/enterprise///,3,30,Control
2023-05-18,Other,fyttlyf/business/product/business-accept-payments/qr-code///,5,27,Experiment
2023-05-18,Other,fyttlyf/business/product/business-contact-sales///,15,29,Experiment
2023-05-18,Tablet,fyttlyf/personal//fyttlyf-credit-payment-security-offer-end///,16,19,Control
2023-05-18,Tablet,fyttlyf/personal/product/digital-wallet-manage-money/direct-deposit///,6,6,Experiment
2023-05-18,Tablet,fyttlyf/business/product/business-operations/reporting-tools///,5,7,Experiment
2023-05-18,Other,fyttlyf/personal/campaign/hvreward-enroll///,1,22,Control
2023-05-18,Other,fyttlyf/personal/sem/pay-with-rewards-capitalone///,7,20,Experiment
2023-05-18,Other,fyttlyf/business/campaign/enterprise-payment-processing-solutions///,1,17,Control
2023-05-18,Other,fyttlyf/business/product/business-contact-sales/thank-you///,14,24,Control
2023-05-18,Tablet,fyttlyf/business//merchant-fees///,13,29,Control
2023-05-18,Other,fyttlyf/personal//fyttlyf-credit-how-it-works///,15,26,Experiment
2023-05-18,Tablet,fyttlyf/personal//ct///,2,10,Experiment
2023-05-18,Laptop,fyttlyf/enterprise/product/fraud-protection-advanced///,5,12,Experiment
2023-05-18,Mobile,fyttlyf/business/product/business-financial-services/working-capital///,3,34,Experiment
2023-05-18,Mobile,fyttlyf/business/product/business-marketplace-payments///,17,14,Experiment
2023-05-18,Other,fyttlyf/personal/product/welcome///,5,12,Control
2023-05-18,Laptop,fyttlyf/both/security/security-report-fraud///,3,27,Experiment
2023-05-18,Tablet,fyttlyf/personal/product/digital-wallet-deals-rewards///,15,18,Experiment
2023-05-18,Tablet,fyttlyf/business/campaign/campaigns-business/accept-more-payments///,4,21,Experiment
2023-05-18,Mobile,fyttlyf/enterprise//global-payment-processing-solutions///,2,18,Experiment
2023-05-18,Laptop,fyttlyf/business/product/business-operations/reporting-tools///,6,25,Control
2023-05-18,Mobile,fyttlyf/personal//non-profits-fundraising-donate-button///,6,16,Experiment
2023-05-18,Mobile,fyttlyf/personal//intro-offer4///,3,23,Control
2023-05-18,Laptop,fyttlyf/business/product/business-operations/mass-payments///,4,10,Control
2023-05-18,Other,fyttlyf/personal/buy/fyttlyf-benefits///,10,15,Experiment
2023-05-18,Tablet,fyttlyf/enterprise/product/fraud-protection-advanced///,6,16,Control
2023-05-18,Other,fyttlyf/personal/product/digital-wallet-manage-money/fyttlyf-debit-card///,2,19,Experiment
2023-05-18,Mobile,fyttlyf/enterprise/product/enterprise-pay-later-messaging///,5,29,Control
2023-05-18,Laptop,fyttlyf/personal//send-money-to-latin-america///,19,15,Experiment
2023-05-18,Tablet,fyttlyf/personal//nfp///,10,18,Control
2023-05-18,Tablet,fyttlyf/business/product/business-accept-payments/checkout///,7,20,Control
2023-05-18,Laptop,fyttlyf/honey/redirect////,12,23,Experiment
2023-05-18,Other,fyttlyf///resolve-disputes///,8,21,Control
2023-05-18,Tablet,fyttlyf///disputes-chargebacks///,0,25,Control
2023-05-18,Tablet,fyttlyf/personal/product/start-selling///,0,12,Control
2023-05-18,Mobile,fyttlyf/personal//offers///,202,1641,Control
2023-05-18,Mobile,fyttlyf/personal/product/digital-wallet-send-receive-money/send-money///,110,495,Control
2023-05-18,Laptop,fyttlyf/personal/product/digital-wallet-how-fyttlyf-works///,935,2843,Control
2023-05-18,Laptop,fyttlyf/business/campaign/campaigns-business/sign-up///,100,8285,Control
2023-05-18,Mobile,fyttlyf/personal/product/digital-wallet-send-receive-money/giving///,21,67,Control
2023-05-18,Laptop,fyttlyf/personal/product/digital-wallet-manage-money/start-saving///,3670,4665,Control
2023-05-18,Mobile,fyttlyf/personal/product/digital-wallet-manage-money/start-saving///,2649,2977,Control
2023-05-18,Laptop,fyttlyf/personal/product/digital-wallet-manage-money/fyttlyf-debit-card///,100,893,Control
2023-05-18,Mobile,fyttlyf/personal/product/digital-wallet-manage-money/cash-check///,24,104,Control
2023-05-18,Mobile,fyttlyf/business/product/business-financial-services/debit-card///,30,89,Control
2023-05-18,Mobile,fyttlyf/personal//ct///,2637,4608,Experiment
2023-05-18,Laptop,fyttlyf/personal/product/digital-wallet-ways-to-pay/rewards-points///,45,242,Control
2023-05-18,Laptop,fyttlyf/business/campaign/campaigns-business/contact///,77,840,Experiment
2023-05-18,Mobile,fyttlyf/both/security/security-learn///,13,128,Control
2023-05-18,Mobile,fyttlyf/business/product/fyttlyf-prepaid-mastercard///,21,73,Control
2023-05-18,Other,fyttlyf/personal/buy/fees///,19,103,Control
2023-05-18,Laptop,fyttlyf/personal/campaign/hvreward-enroll///,143,192,Control
2023-05-18,Laptop,fyttlyf/personal/product/digital-wallet-manage-money/start-saving///,412,548,Experiment
2023-05-18,Laptop,fyttlyf/personal/sem/pay-with-rewards-capitalone///,22,196,Experiment
2023-05-18,Laptop,fyttlyf/enterprise/product/enterprise-pay-later-messaging///,13,260,Control
2023-05-18,Mobile,fyttlyf/business/product/business-accept-payments/checkout/installments///,74,251,Control
2023-05-18,Laptop,fyttlyf/personal/product/digital-wallet-send-receive-money/request-money///,36,216,Control
2023-05-18,Mobile,fyttlyf///about-payment-methods///,210,784,Control
2023-05-18,Other,fyttlyf/personal/product/digital-wallet-how-fyttlyf-works///,43,141,Control
2023-05-18,Mobile,fyttlyf/general/sem/google-pay-fyttlyf///,13,62,Control
2023-05-18,Mobile,fyttlyf/business/campaign/enterprise-payment-processing-solutions///,33,78,Control
